Fecha;Precio
12/09/2017;2.908,53
13/09/2017;2.911,43
14/09/2017;2.898,45
15/09/2017;2.896,00
18/09/2017;2.910,50
19/09/2017;2.898,00
20/09/2017;2.891,15
21/09/2017;2.915,20
22/09/2017;2.905,00
25/09/2017;2.925,55
26/09/2017;2.922,68
27/09/2017;2.936,80
28/09/2017;2.943,45
29/09/2017;2.936,90
2/10/2017;2.950,00
3/10/2017;2.953,88
4/10/2017;2.936,91
5/10/2017;2.926,96
6/10/2017;2.938,48
9/10/2017;2.949,75
10/10/2017;2.957,12
11/10/2017;2.953,78
12/10/2017;2.940,75
13/10/2017;2.933,29
16/10/2017;2.933,81
17/10/2017;2.949,75
18/10/2017;2.924,00
19/10/2017;2.919,00
20/10/2017;2.933,00
23/10/2017;2.952,60
24/10/2017;2.978,00
25/10/2017;2.999,56
26/10/2017;3.015,20
27/10/2017;3.010,50
30/10/2017;3.023,50
31/10/2017;3.041,42
1/11/2017;3.065,65
2/11/2017;3.028,00
3/11/2017;3.037,50
6/11/2017;3.039,36
7/11/2017;3.036,90
8/11/2017;3.019,00
9/11/2017;3.010,55
10/11/2017;3.008,00
13/11/2017;3.007,50
14/11/2017;3.016,21
15/11/2017;3.027,34
16/11/2017;3.014,14
17/11/2017;3.000,30
20/11/2017;3.009,00
21/11/2017;2.994,00
22/11/2017;2.975,66
23/11/2017;2.977,75
24/11/2017;2.981,44
27/11/2017;3.003,92
28/11/2017;2.995,26
29/11/2017;3.005,66
30/11/2017;3.015,30
1/12/2017;3.001,65
4/12/2017;2.990,81
5/12/2017;2.995,35
6/12/2017;3.008,97
7/12/2017;3.011,20
8/12/2017;3.010,50
11/12/2017;3.013,50
12/12/2017;3.028,14
13/12/2017;3.012,01
14/12/2017;2.994,90
15/12/2017;2.996,79
18/12/2017;2.978,01
19/12/2017;2.969,73
20/12/2017;2.960,00
21/12/2017;2.968,40
22/12/2017;2.958,50
25/12/2017;2.958,50
26/12/2017;2.964,09
27/12/2017;2.975,13
28/12/2017;2.983,50
29/12/2017;2.984,50
1/01/2018;2.984,50
2/01/2018;2.930,82
3/01/2018;2.902,81
4/01/2018;2.887,00
5/01/2018;2.906,30
8/01/2018;2.911,30
9/01/2018;2.908,90
10/01/2018;2.888,85
11/01/2018;2.856,70
12/01/2018;2.859,01
15/01/2018;2.860,55
16/01/2018;2.864,00
17/01/2018;2.843,45
18/01/2018;2.844,75
19/01/2018;2.846,10
22/01/2018;2.851,45
23/01/2018;2.855,16
24/01/2018;2.812,15
25/01/2018;2.790,50
26/01/2018;2.814,00
29/01/2018;2.836,73
30/01/2018;2.852,15
31/01/2018;2.830,20
1/02/2018;2.794,80
2/02/2018;2.842,00
5/02/2018;2.841,50
6/02/2018;2.829,75
7/02/2018;2.850,40
8/02/2018;2.887,00
9/02/2018;2.940,99
12/02/2018;2.889,90
13/02/2018;2.903,89
14/02/2018;2.869,50
15/02/2018;2.855,00
16/02/2018;2.836,00
19/02/2018;2.835,75
20/02/2018;2.862,50
21/02/2018;2.881,30
22/02/2018;2.859,25
23/02/2018;2.845,00
26/02/2018;2.840,00
27/02/2018;2.857,50
28/02/2018;2.866,75
1/03/2018;2.883,50
2/03/2018;2.867,00
5/03/2018;2.854,47
6/03/2018;2.854,00
7/03/2018;2.866,50
8/03/2018;2.876,00
9/03/2018;2.867,30
12/03/2018;2.846,00
13/03/2018;2.853,98
14/03/2018;2.843,00
15/03/2018;2.848,45
16/03/2018;2.856,50
19/03/2018;2.860,00
20/03/2018;2.870,75
21/03/2018;2.852,88
22/03/2018;2.860,00
23/03/2018;2.844,00
26/03/2018;2.803,80
27/03/2018;2.783,75
28/03/2018;2.793,05
29/03/2018;2.790,50
30/03/2018;2.792,50
2/04/2018;2.808,00
3/04/2018;2.780,85
4/04/2018;2.793,00
5/04/2018;2.790,75
6/04/2018;2.793,00
9/04/2018;2.777,00
10/04/2018;2.772,30
11/04/2018;2.721,80
12/04/2018;2.707,70
13/04/2018;2.713,00
16/04/2018;2.728,50
17/04/2018;2.725,70
18/04/2018;2.711,90
19/04/2018;2.733,00
20/04/2018;2.759,86
23/04/2018;2.815,74
24/04/2018;2.783,60
25/04/2018;2.814,25
26/04/2018;2.817,01
27/04/2018;2.806,70
30/04/2018;2.808,60
1/05/2018;2.805,47
2/05/2018;2.833,00
3/05/2018;2.860,31
4/05/2018;2.822,00
7/05/2018;2.823,20
8/05/2018;2.872,95
9/05/2018;2.864,73
10/05/2018;2.826,07
11/05/2018;2.837,17
14/05/2018;2.837,17
15/05/2018;2.877,30
16/05/2018;2.863,72
17/05/2018;2.904,90
