Fecha;COLCAP
26/04/2010;1484,44
27/04/2010;1472,11
28/04/2010;1457,28
29/04/2010;1469,22
30/04/2010;1467,26
3/05/2010;1490,16
4/05/2010;1481,63
5/05/2010;1446,55
6/05/2010;1403,06
7/05/2010;1412,8
10/05/2010;1438,18
11/05/2010;1442,63
12/05/2010;1451,06
13/05/2010;1454,93
14/05/2010;1444,27
18/05/2010;1424,49
19/05/2010;1406,37
20/05/2010;1395,99
21/05/2010;1397,39
24/05/2010;1410,93
25/05/2010;1399,25
26/05/2010;1432,82
27/05/2010;1428,47
28/05/2010;1446,48
31/05/2010;1444,54
1/06/2010;1447,26
2/06/2010;1451,91
3/06/2010;1453,36
4/06/2010;1438,3
8/06/2010;1433,27
9/06/2010;1445,53
10/06/2010;1446,34
11/06/2010;1448,08
15/06/2010;1450,71
16/06/2010;1461,39
17/06/2010;1460,56
18/06/2010;1472,41
21/06/2010;1466,78
22/06/2010;1467,67
23/06/2010;1471,95
24/06/2010;1468,73
25/06/2010;1475,04
28/06/2010;1472,02
29/06/2010;1453,6
30/06/2010;1466,78
1/07/2010;1459,01
2/07/2010;1455,04
6/07/2010;1463,82
7/07/2010;1462,31
8/07/2010;1474,59
9/07/2010;1478,49
12/07/2010;1496,79
13/07/2010;1507,16
14/07/2010;1521,17
15/07/2010;1532,45
16/07/2010;1526,67
19/07/2010;1528,75
21/07/2010;1565,5
22/07/2010;1566,33
23/07/2010;1569,86
26/07/2010;1596,49
27/07/2010;1602,61
28/07/2010;1591,33
29/07/2010;1562,05
30/07/2010;1571,62
2/08/2010;1575,01
3/08/2010;1586,92
4/08/2010;1595,44
5/08/2010;1601,01
6/08/2010;1580,41
9/08/2010;1582,51
10/08/2010;1577,34
11/08/2010;1558,12
12/08/2010;1557,42
13/08/2010;1567,78
17/08/2010;1575,02
18/08/2010;1581,48
19/08/2010;1586,73
20/08/2010;1585,6
23/08/2010;1606,82
24/08/2010;1605,58
25/08/2010;1602,95
26/08/2010;1616,93
27/08/2010;1639,89
30/08/2010;1642,91
31/08/2010;1664,18
1/09/2010;1713,81
2/09/2010;1681,03
3/09/2010;1687,24
6/09/2010;1719,62
7/09/2010;1715,27
8/09/2010;1735,68
9/09/2010;1730,15
10/09/2010;1699,91
13/09/2010;1695,47
14/09/2010;1703,11
15/09/2010;1693,44
16/09/2010;1691,32
17/09/2010;1691,24
20/09/2010;1709,46
21/09/2010;1716,15
22/09/2010;1707,34
23/09/2010;1693,47
24/09/2010;1697,26
27/09/2010;1711,46
28/09/2010;1744,84
29/09/2010;1766,22
30/09/2010;1769,5
1/10/2010;1766,79
4/10/2010;1766,42
5/10/2010;1794,73
6/10/2010;1825,05
7/10/2010;1808,89
8/10/2010;1826,38
11/10/2010;1845,91
12/10/2010;1842,54
13/10/2010;1873,5
14/10/2010;1855,43
15/10/2010;1833,59
19/10/2010;1857,75
20/10/2010;1860,52
21/10/2010;1877,98
22/10/2010;1906,66
25/10/2010;1900,1
26/10/2010;1870,75
27/10/2010;1862,84
28/10/2010;1871,21
29/10/2010;1901,83
2/11/2010;1913,88
3/11/2010;1923,28
4/11/2010;1942,37
5/11/2010;1940,38
8/11/2010;1939,96
9/11/2010;1938,49
10/11/2010;1889,62
11/11/2010;1841,69
12/11/2010;1795,09
16/11/2010;1729,16
17/11/2010;1786,89
18/11/2010;1814,13
19/11/2010;1778,83
22/11/2010;1775,45
23/11/2010;1750,36
24/11/2010;1790,15
25/11/2010;1784,8
26/11/2010;1770,59
29/11/2010;1762,11
30/11/2010;1779,94
1/12/2010;1793,55
2/12/2010;1825,55
3/12/2010;1830,26
6/12/2010;1840,29
7/12/2010;1837,18
9/12/2010;1826,7
10/12/2010;1830,86
13/12/2010;1841,24
14/12/2010;1845,71
15/12/2010;1823,61
16/12/2010;1826,74
17/12/2010;1823,1
20/12/2010;1815,55
21/12/2010;1824,82
22/12/2010;1839,59
23/12/2010;1846,5
24/12/2010;1853,24
27/12/2010;1866,12
28/12/2010;1849,51
29/12/2010;1831,84
30/12/2010;1823,7
3/01/2011;1803
4/01/2011;1810,27
5/01/2011;1790,57
6/01/2011;1766,77
7/01/2011;1781,71
11/01/2011;1763,08
12/01/2011;1784,1
13/01/2011;1801,86
14/01/2011;1796,05
17/01/2011;1801,66
18/01/2011;1790,41
19/01/2011;1766,21
20/01/2011;1741,61
21/01/2011;1756,48
24/01/2011;1759,99
25/01/2011;1754,92
26/01/2011;1771,55
27/01/2011;1773,04
28/01/2011;1768,13
31/01/2011;1762,43
1/02/2011;1759,61
2/02/2011;1745,24
3/02/2011;1735,96
4/02/2011;1709,06
7/02/2011;1691,87
8/02/2011;1710,54
9/02/2011;1696,85
10/02/2011;1687,92
11/02/2011;1694,51
14/02/2011;1703,39
15/02/2011;1692,43
16/02/2011;1689,95
17/02/2011;1666,93
18/02/2011;1644,66
21/02/2011;1658,33
22/02/2011;1661,43
23/02/2011;1698,63
24/02/2011;1699,17
25/02/2011;1713,4
28/02/2011;1750,97
1/03/2011;1762,02
2/03/2011;1760,13
3/03/2011;1782,06
4/03/2011;1788,14
7/03/2011;1778,92
8/03/2011;1757,98
9/03/2011;1765,67
10/03/2011;1728,54
11/03/2011;1699,01
14/03/2011;1685,54
15/03/2011;1645,96
16/03/2011;1638,58
17/03/2011;1708,98
18/03/2011;1739,16
22/03/2011;1740,98
23/03/2011;1743,02
24/03/2011;1742,05
25/03/2011;1727,79
28/03/2011;1721,7
29/03/2011;1708,76
30/03/2011;1703,93
31/03/2011;1718,45
1/04/2011;1708,59
4/04/2011;1708,53
5/04/2011;1722,18
6/04/2011;1719,57
7/04/2011;1723,94
8/04/2011;1708,66
11/04/2011;1703,1
12/04/2011;1676,58
13/04/2011;1682,54
14/04/2011;1670,12
15/04/2011;1670,18
18/04/2011;1653,76
19/04/2011;1661,23
20/04/2011;1691,73
25/04/2011;1689,11
26/04/2011;1697,39
27/04/2011;1690,59
28/04/2011;1697,39
29/04/2011;1700,68
2/05/2011;1692,14
3/05/2011;1671,95
4/05/2011;1675,38
5/05/2011;1643,3
6/05/2011;1652,88
9/05/2011;1670,42
10/05/2011;1692,77
11/05/2011;1697,55
12/05/2011;1703,03
13/05/2011;1706,76
16/05/2011;1700,03
17/05/2011;1713,15
18/05/2011;1710,67
19/05/2011;1706,13
20/05/2011;1710,5
23/05/2011;1709,07
24/05/2011;1721,44
25/05/2011;1717,92
26/05/2011;1733,2
27/05/2011;1732,02
30/05/2011;1737,87
31/05/2011;1760,4
1/06/2011;1753,64
2/06/2011;1752,74
3/06/2011;1753,31
7/06/2011;1750,15
8/06/2011;1755,85
9/06/2011;1753,2
10/06/2011;1751,77
13/06/2011;1730
14/06/2011;1729,69
15/06/2011;1701,98
16/06/2011;1701,45
17/06/2011;1702,44
20/06/2011;1697
21/06/2011;1709,27
22/06/2011;1721,61
23/06/2011;1712,98
24/06/2011;1710,15
28/06/2011;1711,42
29/06/2011;1718,91
30/06/2011;1700,43
1/07/2011;1707,03
5/07/2011;1716,02
6/07/2011;1677,4
7/07/2011;1673,86
8/07/2011;1656,36
11/07/2011;1612,67
12/07/2011;1597,89
13/07/2011;1610,84
14/07/2011;1585,16
15/07/2011;1584,07
18/07/2011;1589,3
19/07/2011;1628,2
21/07/2011;1647,32
22/07/2011;1645,71
25/07/2011;1655,68
26/07/2011;1664,25
27/07/2011;1652,59
28/07/2011;1671,32
29/07/2011;1659,39
1/08/2011;1669,63
2/08/2011;1658,98
3/08/2011;1651,57
4/08/2011;1601,41
5/08/2011;1588,1
8/08/2011;1535,48
9/08/2011;1578,06
10/08/2011;1582,2
11/08/2011;1600,32
12/08/2011;1611,13
16/08/2011;1620,63
17/08/2011;1624,14
18/08/2011;1581,3
19/08/2011;1573,1
